Lge,Sea,Date,HT,AT,HS,AS,GD,WDL,pr_HS,prd_AS,prd_W,prd_D,prd_L
ARG1,23-24,16/04/2023,CA Banfield,Central Cordoba,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Defensa y Justicia,Instituto de Córdoba,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Velez Sarsfield,Barracas Central,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Platense,CA Colon,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Talleres Cordoba,San Lorenzo,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Boca Juniors,Estudiantes,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Atletico Tucuman,Rosario Central,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Independiente,Racing Club,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Newells Old Boys,River Plate,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,GyE La Plata,Belgrano Cordoba,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Huracan,Argentinos Juniors,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Union de Santa Fe,Tigre,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,Sarmiento de Junin,Arsenal Sarandi,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,16/04/2023,CD Godoy Cruz,CA Lanus,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Central Cordoba,CD Godoy Cruz,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,CA Lanus,Sarmiento de Junin,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Arsenal Sarandi,Union de Santa Fe,-1,-1,0,D,-1,-1,0.00,0.00,0.00
ARG1,23-24,23/04/2023,Tigre,Huracan,-1,-1,0,D,-1,-1,0.00,0.00,0.00
